State,Population,Violent_crime,Murder,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_vehicle_theft
ALABAMA,4887871,25399,383,1996,4076,18944,137700,28841,95747,13112
ALASKA,737438,6526,47,1192,896,4391,24339,3979,16364,3996
ARIZONA,7171646,34058,369,3638,6523,23528,191974,31532,141303,19139
ARKANSAS,3013825,16384,216,2196,1594,12378,87793,19193,61487,7113
CALIFORNIA,39557045,176982,1739,15505,54326,105412,941618,164632,621775,155211
COLORADO,5695564,22624,210,4070,3797,14547,152163,21371,109119,21673
CONNECTICUT,3572665,7411,83,840,2194,4294,60055,7948,44724,7383
DELAWARE,967171,4097,48,338,866,2845,22481,3158,17847,1476
DISTRICT OF COLUMBIA,702455,6996,160,450,2415,3971,30724,1788,26343,2593
FLORIDA,21299325,81980,1107,8438,16884,55551,486017,71933,372919,41165
GEORGIA,10519475,34355,642,2651,8279,22783,270738,45369,200609,24760
HAWAII,1420491,3532,36,625,946,1925,40772,5631,29492,5649
IDAHO,1754208,3983,35,791,200,2957,25636,4940,18732,1964
ILLINOIS,12741080,51490,884,5859,14208,30539,246264,39080,187591,19593
INDIANA,6691878,25581,438,2370,5939,16834,145838,25268,105242,15328
IOWA,3156145,7893,54,976,932,5931,53385,11127,37571,4687
KANSAS,2911505,12782,113,1567,1543,9559,76686,12537,56305,7844
KENTUCKY,4468402,9467,244,1707,2457,5059,87695,17190,60244,10261
LOUISIANA,4659978,25049,530,2085,4568,17866,152661,31132,109993,11536
MAINE,1338404,1501,24,446,228,803,18173,2713,14683,777
MARYLAND,6042718,28320,490,1979,9716,16135,122864,18892,91835,12137
MASSACHUSETTS,6902149,23337,136,2410,4143,16648,87196,13862,66728,6606
MICHIGAN,9995915,44918,551,7690,5656,31021,165280,31651,116178,17451
MINNESOTA,5611179,12369,106,2462,2944,6857,111874,16185,85561,10128
MISSISSIPPI,2986530,6999,171,537,1595,4696,71766,20839,46627,4300
MISSOURI,6126452,30758,607,2912,5197,22042,162173,27257,115101,19815
MONTANA,1062305,3974,34,551,269,3120,26518,3257,20465,2796
NEBRASKA,1929268,5494,44,1233,756,3461,40126,5246,30006,4874
NEVADA,3034392,16420,202,2329,3862,10027,73985,17743,44338,11904
NEW HAMPSHIRE,1356458,2349,21,534,359,1435,16935,1847,14219,869
NEW JERSEY,8908520,18537,286,1424,6364,10463,125156,19232,94887,11037
NEW MEXICO,2095428,17949,167,1354,2830,13598,71657,16088,45390,10179
NEW YORK,19542209,68495,562,6575,18187,43171,281507,31137,237233,13137
NORTH CAROLINA,10383620,39210,628,2633,8423,27526,258979,62290,179057,17632
NORTH DAKOTA,760077,2133,18,397,158,1560,15507,2724,11008,1775
OHIO,11689442,32723,564,5300,9185,17674,254496,48186,186401,19909
OKLAHOMA,3943079,18380,206,2299,2791,13084,113364,26858,73217,13289
OREGON,4190713,11966,82,1975,2549,7360,121278,16304,88418,16556
PENNSYLVANIA,12807060,39192,784,4483,9848,24077,190816,27104,150596,13116
PUERTO RICO,3195153,6417,639,198,2271,3309,24851,5486,15658,3707
RHODE ISLAND,1057315,2317,16,481,454,1366,17561,2810,13220,1531
SOUTH CAROLINA,5084127,24825,392,2434,3553,18446,153421,29473,109616,14332
SOUTH DAKOTA,882235,3570,12,614,262,2682,15251,2571,11156,1524
TENNESSEE,6770010,42226,498,2821,7190,31717,191279,33132,137708,20439
TEXAS,28701845,117927,1322,14693,28256,73656,679430,117911,491702,69817
UTAH,3161105,7368,60,1753,1236,4319,75156,9968,57460,7728
VERMONT,626299,1077,10,287,70,710,8036,1467,6316,253
VIRGINIA,8517685,17032,391,2924,3604,10113,141885,15574,115533,10778
WASHINGTON,7535591,23472,236,3413,5572,14251,222011,40201,154133,27677
WEST VIRGINIA,1805832,5236,67,652,572,3945,26827,5354,18954,2519
WISCONSIN,5813568,17176,176,2248,3489,11263,90686,14099,67953,8634
WYOMING,577737,1226,13,243,100,870,10313,1525,7949,839
